S. No,Mol ID,SMILES,Atom ID,Aromatic,Strained,C_Mulliken Charge,AtomDegree,C_Effective Atom Polarizability,C_Partial Pi Charge ,C_Pi Electronegativity,C_SigmaElectonegativity,Hybridization,H_mulliken_charge,H_Effective Atom Polarizability,H_sigmaElectroNegativityDescriptor,NWChem,Avg_NWChem,BondLength,Exp1JCH,SigmaDeltaTheta,SigmaAbsDelthaTheta,Omega,MaxDeltaTheta
172,27_NWChem_1JCH_mulliken,[H]C12(C3([H])(C4([H])(C1([H])C5([H])(C2([H])C3([H])C45([H]))))),a9,FALSE,TRUE,6.10821,3,7.424125,0,0,7.700264357,SP3,0.89172,4.4375625,7.360822177,154.9931,155.01585,1.088401876,153.8,58.39171484,58.39171484,144.7277019,19.46680947
173,27_NWChem_1JCH_mulliken,[H]C12(C3([H])(C4([H])(C1([H])C5([H])(C2([H])C3([H])C45([H]))))),a10,FALSE,TRUE,6.10827,3,7.424125,0,0,7.700264357,SP3,0.89172,4.4375625,7.360822177,155.0171,155.01585,1.088396147,153.8,58.41058672,58.41058672,144.729871,19.47301894
174,27_NWChem_1JCH_mulliken,[H]C12(C3([H])(C4([H])(C1([H])C5([H])(C2([H])C3([H])C45([H]))))),a11,FALSE,TRUE,6.10828,3,7.424125,0,0,7.700264357,SP3,0.89173,4.4375625,7.360822177,155.0222,155.01585,1.088395283,153.8,58.41537009,58.41537009,144.7334495,19.47494504
175,27_NWChem_1JCH_mulliken,[H]C12(C3([H])(C4([H])(C1([H])C5([H])(C2([H])C3([H])C45([H]))))),a12,FALSE,TRUE,6.10832,3,7.424125,0,0,7.700264357,SP3,0.89173,4.4375625,7.360822177,155.031,155.01585,1.088392115,153.8,58.422329,58.422329,144.7343949,19.47469205
176,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a15,FALSE,FALSE,6.23713,2,8.065125,0,0,7.551792927,SP3,0.90113,4.7580625,7.337401928,125.6531,125.676525,1.095746971,125.9,-1.407450806,1.407450806,122.9868371,4.9E-324
177,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a25,FALSE,FALSE,6.23719,2,8.065125,0,0,7.551792927,SP3,0.90113,4.7580625,7.337401928,125.6574,125.676525,1.09578417,125.9,-1.400417055,1.400417055,122.9960692,4.9E-324
178,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a18,FALSE,FALSE,6.23712,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.66,125.676525,1.095762781,125.9,-1.405679243,1.405679243,122.9898696,4.9E-324
179,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a21,FALSE,FALSE,6.23706,2,8.065125,0,0,7.551792927,SP3,0.90114,4.7580625,7.337401928,125.6708,125.676525,1.09573404,125.9,-1.391095959,1.391095959,123.0014145,4.9E-324
180,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a19,FALSE,FALSE,6.23712,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.6737,125.676525,1.09572961,125.9,-1.401900548,1.401900548,122.9856752,4.9E-324
181,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a12,FALSE,FALSE,6.23715,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.6764,125.676525,1.095753465,125.9,-1.394510566,1.394510566,122.9992226,4.9E-324
182,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a23,FALSE,FALSE,6.23711,2,8.065125,0,0,7.551792927,SP3,0.90114,4.7580625,7.337401928,125.6771,125.676525,1.095746503,125.9,-1.401255093,1.401255093,122.9834331,4.9E-324
183,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a24,FALSE,FALSE,6.23711,2,8.065125,0,0,7.551792927,SP3,0.90111,4.7580625,7.337401928,125.6772,125.676525,1.095749321,125.9,-1.393175132,1.393175132,122.9902646,4.9E-324
184,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a13,FALSE,FALSE,6.23715,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.6865,125.676525,1.095774726,125.9,-1.388168446,1.388168446,122.9932193,4.9E-324
185,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a26,FALSE,FALSE,6.23719,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.6916,125.676525,1.095735287,125.9,-1.387292539,1.387292539,123.0004122,4.9E-324
186,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a20,FALSE,FALSE,6.23706,2,8.065125,0,0,7.551792927,SP3,0.90114,4.7580625,7.337401928,125.6954,125.676525,1.095754862,125.9,-1.384001685,1.384001685,123.0045938,4.9E-324
187,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a16,FALSE,FALSE,6.23713,2,8.065125,0,0,7.551792927,SP3,0.90112,4.7580625,7.337401928,125.6991,125.676525,1.095736778,125.9,-1.384340765,1.384340765,122.999708,4.9E-324
188,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a14,FALSE,FALSE,6.04276,3,8.7785,0,0,7.616471984,SP3,0.89813,5.11475,7.356075441,131.1582,131.1789,1.095142757,131.2,0.328296616,0.328296616,125.4292371,0.12271878
189,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a22,FALSE,FALSE,6.0428,3,8.7785,0,0,7.616471984,SP3,0.89814,5.11475,7.356075441,131.1585,131.1789,1.095143567,131.2,0.328540912,0.328540912,125.424321,0.117286831
190,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a11,FALSE,FALSE,6.04287,3,8.7785,0,0,7.616471984,SP3,0.89812,5.11475,7.356075441,131.1615,131.1789,1.095140864,131.2,0.329761809,0.329761809,125.4193448,0.130348395
191,28_NWChem_1JCH_mulliken,[H]C1([H])(C2([H])(C([H])([H])C3([H])(C([H])([H])C1([H])C([H])([H])C([H])(C2([H])([H]))C3([H])([H])))),a17,FALSE,FALSE,6.04284,3,8.7785,0,0,7.616471984,SP3,0.8981,5.11475,7.356075441,131.2374,131.1789,1.095126025,131.2,0.375241134,0.375241134,125.4457473,0.137273112
192,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a15,FALSE,TRUE,6.06251,3,7.49675,0,0,7.644607641,SP3,0.88268,4.473875,7.357665243,150.3327,150.3327,1.086444319,149.5,18.20857352,81.29326273,115.3255579,49.75091812
193,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a10,FALSE,TRUE,6.09359,3,7.520875,0,0,7.70013377,SP3,0.88914,4.4859375,7.36082143,166.2005,166.2025,1.083693711,165,50.26006273,53.47415245,124.428692,51.86710759
194,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a8,FALSE,TRUE,6.09362,3,7.520875,0,0,7.70013377,SP3,0.88914,4.4859375,7.36082143,166.2045,166.2025,1.083682459,165,50.26109475,53.47600627,124.4325315,51.86855051
195,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a11,FALSE,TRUE,6.10327,3,7.932,0,0,7.69572353,SP3,0.8903,4.6915,7.360734688,168.4779,168.48195,1.083886065,170,46.63394616,66.39468975,125.6410246,49.32952341
196,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a12,FALSE,TRUE,6.10322,3,7.932,0,0,7.69572353,SP3,0.89031,4.6915,7.360734688,168.486,168.48195,1.083877649,170,46.64011201,66.39371195,125.6436359,49.32955847
197,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a13,FALSE,TRUE,6.13288,3,7.0009375,0,0,7.700262063,SP3,0.88935,4.22596875,7.360822177,213.6112,213.6112,1.076832404,209.1,117.1222172,117.1222172,143.8707509,48.91911867
198,29_NWChem_1JCH_mulliken,[H]C([H])([H])C1([H])(C2([H])(C1([H])C3([H])(C4([H])(C2([H])C34([H]))))),a9,FALSE,TRUE,6.16191,3,7.0009375,0,0,7.700262063,SP3,0.89122,4.22596875,7.360822177,218.4595,218.4595,1.076560988,215,113.0902591,113.0902591,144.8382661,47.6263502
199,3_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])([H])C([H])([H])[H],a5,FALSE,FALSE,6.30821,1,4.49825,0,0,7.387661985,SP3,0.90666,2.974625,7.312668356,124.2584,124.3462333,1.09383442,124.4,-1.935241139,5.487943807,120.8117386,1.776351334
200,3_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])([H])C([H])([H])[H],a7,FALSE,FALSE,6.15006,2,5.127,0,0,7.449585855,SP3,0.9081,3.289,7.331294755,124.4147,124.4147,1.094985897,125.4,-3.366364026,3.694613672,121.3501376,0.082062412
201,3_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])([H])C([H])([H])[H],a4,FALSE,FALSE,6.30821,1,4.49825,0,0,7.387661985,SP3,0.89534,2.974625,7.312668356,124.5219,124.3462333,1.092926184,124.4,-1.334041135,5.306337825,120.9233962,1.986148345
202,30_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a4,FALSE,FALSE,6.34568,1,4.0185,0,0,7.8964061,SP3,0.87742,2.73475,7.358540826,123.5402,127.1042667,1.095044068,127,-2.230028755,2.235544835,121.9389317,0.00275804
203,30_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a5,FALSE,FALSE,6.34568,1,4.0185,0,0,7.8964061,SP3,0.87746,2.73475,7.358540826,123.5447,127.1042667,1.095036527,127,-2.220747129,2.249350251,121.9467719,0.014301561
204,30_NWChem_1JCH_mulliken,[H]C(=O)C([H])([H])[H],a6,FALSE,FALSE,6.34568,1,4.0185,0,0,7.8964061,SP3,0.86551,2.73475,7.358540826,134.2279,127.1042667,1.089174775,127,2.920108001,2.920108001,125.0269322,2.9030484
205,31_NWChem_1JCH_mulliken,[H]OC(=O)C([H])([H])[H],4,FALSE,FALSE,6.36617,1,4.26575,0,0,8.175834528,SP3,0.86593,2.858375,7.375416473,126.3491,129.5126333,1.09210436,130,-1.453028575,1.453028575,122.9949118,4.9E-324
206,31_NWChem_1JCH_mulliken,[H]OC(=O)C([H])([H])[H],3,FALSE,FALSE,6.36617,1,4.26575,0,0,8.175834528,SP3,0.86654,2.858375,7.375416473,126.9933,129.5126333,1.091616017,130,-0.854582282,0.854582282,123.2097612,4.9E-324
207,31_NWChem_1JCH_mulliken,[H]OC(=O)C([H])([H])[H],5,FALSE,FALSE,6.36617,1,4.26575,0,0,8.175834528,SP3,0.86556,2.858375,7.375416473,135.1955,129.5126333,1.086806675,130,1.42697169,2.82508891,124.9768588,2.1260303
208,32_NWChem_1JCH_mulliken,[H]C([H])([H])C#N,a4,FALSE,FALSE,6.35626,1,3.93,0,0,8.279296192,SP3,0.8496,2.6905,7.412111784,134.2763,134.2763,1.091239454,136.1,-0.70997765,2.157708752,123.4846043,0.723865551
209,32_NWChem_1JCH_mulliken,[H]C([H])([H])C#N,a5,FALSE,FALSE,6.35626,1,3.93,0,0,8.279296192,SP3,0.8496,2.6905,7.412111784,134.2763,134.2763,1.09123945,136.1,-0.709977938,2.157708314,123.4846041,0.723865188
210,33_NWChem_1JCH_mulliken,[H]N([H])C([H])([H])[H],a3,FALSE,FALSE,6.19959,1,3.706,0,0,7.807905347,SP3,0.9154,2.5785,7.409750268,128.9058,131.7514,1.099381403,133,2.86907879,2.86907879,121.1859156,2.315594898
211,33_NWChem_1JCH_mulliken,[H]N([H])C([H])([H])[H],a4,FALSE,FALSE,6.19959,1,3.706,0,0,7.807905347,SP3,0.89306,2.5785,7.409750268,133.1742,131.7514,1.092009074,133,-3.881373607,7.563848465,120.7890012,1.564495483
212,35_NWChem_1JCH_mulliken,[H]C([H])=NC([H])([H])[H],a5,FALSE,FALSE,6.23649,1,4.1335,0,0,8.235090473,SP3,0.89392,2.79225,7.463090584,129.8817,134.0152,1.094503222,145,-0.527895783,3.110529081,122.3339727,1.185054147
213,35_NWChem_1JCH_mulliken,[H]C([H])=NC([H])([H])[H],a4,FALSE,FALSE,6.23649,1,4.1335,0,0,8.235090473,SP3,0.8736,2.79225,7.463090584,142.2822,134.0152,1.089966638,145,-2.400426334,4.876423394,122.3618255,1.23799853
214,36_NWChem_1JCH_mulliken,[H]C([H])([H])N(O)O,a5,FALSE,FALSE,6.23965,1,4.1765,0,0,8.410103534,SP3,0.84496,2.81375,7.443789276,141.3248,144.8107667,1.089439609,146.7,-0.735038165,6.211741572,121.2154554,1.377314491
215,36_NWChem_1JCH_mulliken,[H]C([H])([H])N(O)O,a7,FALSE,FALSE,6.23965,1,4.1765,0,0,8.410103534,SP3,0.84657,2.81375,7.443789276,146.5535,144.8107667,1.085665894,146.7,3.330990639,5.330372435,122.3231858,2.953367046
216,36_NWChem_1JCH_mulliken,[H]C([H])([H])N(O)O,a6,FALSE,FALSE,6.23965,1,4.1765,0,0,8.410103534,SP3,0.84659,2.81375,7.443789276,146.554,144.8107667,1.085657093,146.7,3.338980678,5.289827838,122.3243449,2.953367046
217,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a10,FALSE,FALSE,6.50009,1,6.8695,0,0,7.976575551,SP3,0.87436,4.16025,7.390633801,134.7971,139.4959833,1.091085366,138,3.144662546,3.995552576,122.7083751,2.999757989
218,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a7,FALSE,FALSE,6.50008,1,6.8695,0,0,7.976575551,SP3,0.87437,4.16025,7.390633801,134.8025,139.4959833,1.091076967,138,3.147211947,3.994969437,122.7080387,3.001322704
219,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a8,FALSE,FALSE,6.50009,1,6.8695,0,0,7.976575551,SP3,0.84247,4.16025,7.390633801,141.3167,139.4959833,1.089315093,138,-1.878342902,3.019042047,119.5580299,0.570349572
220,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a5,FALSE,FALSE,6.50008,1,6.8695,0,0,7.976575551,SP3,0.84244,4.16025,7.390633801,141.3189,139.4959833,1.089296588,138,-1.879242088,3.018778064,119.5551552,0.569767988
221,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a6,FALSE,FALSE,6.50008,1,6.8695,0,0,7.976575551,SP3,0.85024,4.16025,7.390633801,142.3668,139.4959833,1.090298481,138,1.926261266,4.076384142,121.4336511,3.001322704
222,37_NWChem_1JCH_mulliken,[H]C([H])([H])S(O)C([H])([H])[H],a9,FALSE,FALSE,6.50009,1,6.8695,0,0,7.976575551,SP3,0.85021,4.16025,7.390633801,142.3739,139.4959833,1.090320608,138,1.925960253,4.073555724,121.4347916,2.999757989
223,39_NWChem_1JCH_mulliken,[H]OC([H])([H])[H],a3,FALSE,FALSE,6.11268,1,3.0825,0,0,8.284727567,SP3,0.90581,2.26675,7.493473313,137.7195,139.2896,1.095992088,141,1.191804889,6.493806112,123.2006577,2.789282672
224,39_NWChem_1JCH_mulliken,[H]OC([H])([H])[H],a4,FALSE,FALSE,6.11268,1,3.0825,0,0,8.284727567,SP3,0.8845,2.26675,7.493473313,142.4298,139.2896,1.08991006,141,-4.770012744,5.833989703,121.7776465,0.53198848
225,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a11,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.91068,3.289,7.31415116,123.4901,124.0968444,1.094832488,124,-2.139298757,5.396711178,120.9984726,1.628706211
226,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a5,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.91068,3.289,7.31415116,123.4907,124.0968444,1.094832488,124,-2.139298698,5.396712885,120.9984716,1.628707094
227,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a14,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.91068,3.289,7.31415116,123.4913,124.0968444,1.094832488,124,-2.139298739,5.396712381,120.9984718,1.628706821
228,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a13,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.3972,124.0968444,1.093392898,124,-1.409142816,5.040338931,121.0974714,1.815598057
229,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a9,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.3979,124.0968444,1.093392894,124,-1.409141995,5.040338335,121.0974726,1.81559817
230,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a6,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.3982,124.0968444,1.093392892,124,-1.409142503,5.040339915,121.0974714,1.815598706
231,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a7,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.4016,124.0968444,1.093384414,124,-1.406705631,5.033015114,121.0961748,1.813154741
232,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a10,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.4023,124.0968444,1.09338441,124,-1.406704674,5.033013836,121.0961762,1.813154581
233,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a12,FALSE,FALSE,6.31878,1,5.127,0,0,7.411011413,SP3,0.89967,3.289,7.31415116,124.4023,124.0968444,1.093384408,124,-1.406704929,5.033015472,121.0961755,1.813155272
234,4_NWChem_1JCH_mulliken,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],a8,FALSE,FALSE,6.01098,3,6.3845,0,0,7.533624877,SP3,0.90265,3.91775,7.351369266,124.5441,124.5441,1.09687731,124.5,-4.95041849,4.95041849,122.654504,4.9E-324
235,42_NWChem_1JCH_mulliken,[H]C([H])([H])Cl,a3,FALSE,FALSE,6.38072,1,4.568,0,0,8.330692229,SP3,0.84458,3.0095,7.456522629,150.4084,150.4084,1.086489374,150,1.289122447,3.756905874,121.9074965,1.261507137
236,42_NWChem_1JCH_mulliken,[H]C([H])([H])Cl,a5,FALSE,FALSE,6.38072,1,4.568,0,0,8.330692229,SP3,0.84458,3.0095,7.456522629,150.4084,150.4084,1.08648938,150,1.289122946,3.756905145,121.9074968,1.261507023
237,43_NWChem_1JCH_mulliken,[H]C([H])([H])F,a3,FALSE,FALSE,6.02906,1,2.521,0,0,8.718409489,SP3,0.89003,1.986,7.528984882,148.0927,148.0927,1.091218163,149.1,0.765371134,2.262835044,124.1254133,0.757051581
238,43_NWChem_1JCH_mulliken,[H]C([H])([H])F,a5,FALSE,FALSE,6.02906,1,2.521,0,0,8.718409489,SP3,0.89003,1.986,7.528984882,148.0927,148.0927,1.091218168,149.1,0.765370316,2.262835716,124.1254132,0.757051508
239,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a16,FALSE,FALSE,6.63395,1,4.69175,0,0,7.450982385,SP3,0.8834,3.071375,7.319518921,121.0482,121.0629083,1.093912265,118.4,-1.778903847,5.550666902,120.7547571,1.885881528
240,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a14,FALSE,FALSE,6.63393,1,4.69175,0,0,7.450982385,SP3,0.88341,3.071375,7.319518921,121.0503,121.0629083,1.093920126,118.4,-1.779407798,5.551756598,120.7580005,1.8861744
241,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a15,FALSE,FALSE,6.63395,1,4.69175,0,0,7.450982385,SP3,0.88339,3.071375,7.319518921,121.0508,121.0629083,1.093898312,118.4,-1.787921557,5.557088589,120.7540658,1.884583516
242,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a7,FALSE,FALSE,6.63392,1,4.69175,0,0,7.450982385,SP3,0.88339,3.071375,7.319518921,121.0564,121.0629083,1.093912468,118.4,-1.781242557,5.552434746,120.7634653,1.885596094
243,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a13,FALSE,FALSE,6.63393,1,4.69175,0,0,7.450982385,SP3,0.88341,3.071375,7.319518921,121.0583,121.0629083,1.093906936,118.4,-1.768188586,5.54059111,120.7580148,1.886201262
244,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a9,FALSE,FALSE,6.63394,1,4.69175,0,0,7.450982385,SP3,0.88339,3.071375,7.319518921,121.0646,121.0629083,1.09390308,118.4,-1.777811679,5.542316953,120.7610794,1.882252637
245,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a10,FALSE,FALSE,6.63394,1,4.69175,0,0,7.450982385,SP3,0.8834,3.071375,7.319518921,121.0657,121.0629083,1.093898698,118.4,-1.771765895,5.542347751,120.7626972,1.885290928
246,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a6,FALSE,FALSE,6.63392,1,4.69175,0,0,7.450982385,SP3,0.88339,3.071375,7.319518921,121.0681,121.0629083,1.093912428,118.4,-1.763690274,5.527854736,120.7615942,1.882082231
247,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a8,FALSE,FALSE,6.63392,1,4.69175,0,0,7.450982385,SP3,0.88338,3.071375,7.319518921,121.0683,121.0629083,1.093905164,118.4,-1.761573981,5.530747439,120.7629278,1.884586729
248,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a12,FALSE,FALSE,6.63393,1,4.69175,0,0,7.450982385,SP3,0.8834,3.071375,7.319518921,121.0709,121.0629083,1.093910849,118.4,-1.764308486,5.536383121,120.7579275,1.886037317
249,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a17,FALSE,FALSE,6.63395,1,4.69175,0,0,7.450982385,SP3,0.88338,3.071375,7.319518921,121.076,121.0629083,1.093914253,118.4,-1.747959477,5.530431718,120.7576085,1.89123612
250,44_NWChem_1JCH_mulliken,[H]C([H])([H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],a11,FALSE,FALSE,6.63394,1,4.69175,0,0,7.450982385,SP3,0.8834,3.071375,7.319518921,121.0773,121.0629083,1.093899826,118.4,-1.757494963,5.528227788,120.7627374,1.885366413
251,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a6,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86914,2.66025,7.342604825,128.4543,128.8572889,1.092316155,127,-2.491683349,3.99239981,121.4071182,0.657145328
252,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a13,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86914,2.66025,7.342604825,128.4544,128.8572889,1.092316161,127,-2.491683203,3.992399063,121.4071184,0.657144937
253,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a8,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86914,2.66025,7.342604825,128.4546,128.8572889,1.092316154,127,-2.491682663,3.992399642,121.4071184,0.657145207
254,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a9,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86915,2.66025,7.342604825,128.4601,128.8572889,1.092306624,127,-2.487282597,3.996799708,121.4055043,0.663695205
255,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a11,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86915,2.66025,7.342604825,128.4602,128.8572889,1.092306624,127,-2.487282498,3.996799768,121.4055044,0.663695477
256,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a5,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.86915,2.66025,7.342604825,128.4604,128.8572889,1.092306624,127,-2.487283183,3.996799977,121.4055043,0.663695318
257,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a7,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.88119,2.66025,7.342604825,129.657,128.8572889,1.093884524,127,2.031593894,2.031593894,123.0977167,1.847317912
258,45_NWChem_1JCH_mulliken,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],a10,FALSE,FALSE,6.55571,1,3.8695,0,0,7.572848776,SP3,0.88119,2.66025,7.342604825,129.6573,128.8572889,1.093884524,127,2.031593631,2.031593631,123.0977173,1.847316997
